generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
14,1292,10,0,0,1.1625,21.996,-7.122,316,6,5,2,1,1,0.01899,34.545,76.0,27.0,-6.32,-36.0,-51.6,-32.0
15,1247,10,0,0,-2.5713,16.521,-15.752,305,8,5,8,1,1,0.02623,32.787,96.0,24.0,-6.1,-126.0,-38.4,-8.0
16,1320,10,0,0,4.9714,42.08,-19.0,250,11,5,4,1,1,0.044,29.514,126.0,18.0,-5.0,-54.0,-40.8,-24.0
17,653,10,0,0,-6.3588,1.659,-18.159,168,3,5,1,0,1,0.01786,18.972,30.0,0.0,-3.36,-18.0,-55.2,-36.0
18,1441,10,0,0,2.1794,26.71,-13.071,297,9,5,8,1,1,0.0303,33.534,106.0,21.0,-5.94,-108.0,-16.8,-8.0
19,1290,10,0,0,-1.3129,42.39,-16.698,234,8,5,9,1,1,0.03419,26.751,96.0,18.0,-4.68,-126.0,-19.2,-4.0
20,715,10,0,0,-6.9815,1.945,-17.47,129,3,5,2,0,1,0.02326,18.765,30.0,0.0,-2.58,-36.0,-48.0,-32.0
21,551,10,0,0,-8.3416,1.413,-17.06,96,1,5,2,0,1,0.01042,15.504,10.0,0.0,-1.92,-27.0,-48.0,-32.0
22,1458,10,0,0,6.093,32.954,-7.921,296,11,5,5,1,1,0.03716,37.05,126.0,24.0,-5.92,-63.0,-37.2,-20.0
23,1197,10,0,2,-12.2843,1.938,-25.108,162,4,3,10,1,0,0.02469,25.797,40.0,27.0,-3.24,-180.0,-32.4,0.0
24,1338,10,0,0,1.844,32.114,-16.305,294,6,5,2,1,1,0.02041,37.92,76.0,27.0,-5.88,-27.0,-57.6,-32.0
25,498,10,0,0,-8.5446,1.154,-17.918,126,2,5,2,0,1,0.01587,14.274,20.0,0.0,-2.52,-36.0,-49.2,-32.0
26,1248,10,0,0,6.0805,43.043,-16.49,334,10,5,2,1,1,0.02994,35.685,116.0,30.0,-6.68,-27.0,-55.2,-32.0
27,1358,10,0,1,-14.0189,1.637,-24.726,190,3,4,10,1,0,0.01579,22.611,30.0,15.0,-3.8,-180.0,-24.0,0.0
28,1337,10,0,0,2.6901,29.204,-17.337,396,9,5,3,1,1,0.02273,35.421,106.0,27.0,-7.92,-54.0,-51.6,-28.0
29,1382,10,0,0,2.8385,22.226,-16.764,378,8,5,3,1,1,0.02116,33.945,96.0,21.0,-7.56,-45.0,-42.0,-28.0
0,13269,10,0,2,-5.31243,1.255,-16.18633,269,18,89,15,0,15,0.06691,39.807,180.0,0.0,-5.38,-207.0,-106.8,-60.0
1,14916,10,0,1,-2.6244,4.23267,-8.75367,424,22,115,10,0,20,0.05189,44.748,220.0,0.0,-8.48,-117.0,-138.0,-80.0
2,15591,10,0,2,-3.13423,8.05867,-15.709,430,28,81,18,1,12,0.06512,46.773,280.0,3.0,-8.6,-270.0,-97.2,-48.0
3,16584,10,0,1,-3.3096,9.162,-9.925,502,20,125,9,1,21,0.03984,49.752,200.0,3.0,-10.04,-108.0,-150.0,-84.0
4,17162,10,0,2,2.96353,36.76267,-11.10867,449,39,103,10,2,20,0.08686,51.486,406.0,6.0,-8.98,-162.0,-123.6,-80.0
5,15403,10,0,2,0.66097,24.76233,-11.97633,489,36,88,16,1,14,0.07362,46.209,376.0,3.0,-9.78,-234.0,-105.6,-56.0
6,16046,10,0,2,4.09727,11.691,-8.68367,431,48,103,15,1,15,0.11137,48.138,480.0,3.0,-8.62,-216.0,-123.6,-60.0
7,15511,10,0,1,-4.04423,7.99633,-12.573,343,21,110,13,0,17,0.06122,46.533,210.0,0.0,-6.86,-171.0,-132.0,-68.0
8,14756,10,0,2,-1.8424,8.02267,-7.996,467,32,101,14,0,16,0.06852,44.268,320.0,0.0,-9.34,-225.0,-121.2,-64.0
9,17634,10,0,1,-0.29393,9.23633,-10.127,566,32,127,10,2,20,0.05654,52.902,320.0,6.0,-11.32,-144.0,-152.4,-80.0
0,13269,10,0,2,-5.31243,1.255,-16.18633,269,18,89,15,0,15,0.06691,39.807,180.0,0.0,-5.38,-207.0,-106.8,-60.0
1,14916,10,0,1,-2.6244,4.23267,-8.75367,424,22,115,10,0,20,0.05189,44.748,220.0,0.0,-8.48,-117.0,-138.0,-80.0
2,15591,10,0,2,-3.13423,8.05867,-15.709,430,28,81,18,1,12,0.06512,46.773,280.0,3.0,-8.6,-270.0,-97.2,-48.0
3,16584,10,0,1,-3.3096,9.162,-9.925,502,20,125,9,1,21,0.03984,49.752,200.0,3.0,-10.04,-108.0,-150.0,-84.0
4,17162,10,0,2,2.96353,36.76267,-11.10867,449,39,103,10,2,20,0.08686,51.486,406.0,6.0,-8.98,-162.0,-123.6,-80.0
5,15403,10,0,2,0.66097,24.76233,-11.97633,489,36,88,16,1,14,0.07362,46.209,376.0,3.0,-9.78,-234.0,-105.6,-56.0
6,16046,10,0,2,4.09727,11.691,-8.68367,431,48,103,15,1,15,0.11137,48.138,480.0,3.0,-8.62,-216.0,-123.6,-60.0
7,15511,10,0,1,-4.04423,7.99633,-12.573,343,21,110,13,0,17,0.06122,46.533,210.0,0.0,-6.86,-171.0,-132.0,-68.0
8,14756,10,0,2,-1.8424,8.02267,-7.996,467,32,101,14,0,16,0.06852,44.268,320.0,0.0,-9.34,-225.0,-121.2,-64.0
9,17634,10,0,1,-0.29393,9.23633,-10.127,566,32,127,10,2,20,0.05654,52.902,320.0,6.0,-11.32,-144.0,-152.4,-80.0
0,13269,10,0,2,-5.31243,1.255,-16.18633,269,18,89,15,0,15,0.06691,39.807,180.0,0.0,-5.38,-207.0,-106.8,-60.0
1,14916,10,0,1,-2.6244,4.23267,-8.75367,424,22,115,10,0,20,0.05189,44.748,220.0,0.0,-8.48,-117.0,-138.0,-80.0
2,15591,10,0,2,-3.13423,8.05867,-15.709,430,28,81,18,1,12,0.06512,46.773,280.0,3.0,-8.6,-270.0,-97.2,-48.0
3,16584,10,0,1,-3.3096,9.162,-9.925,502,20,125,9,1,21,0.03984,49.752,200.0,3.0,-10.04,-108.0,-150.0,-84.0
4,17162,10,0,2,2.96353,36.76267,-11.10867,449,39,103,10,2,20,0.08686,51.486,406.0,6.0,-8.98,-162.0,-123.6,-80.0
5,15403,10,0,2,0.66097,24.76233,-11.97633,489,36,88,16,1,14,0.07362,46.209,376.0,3.0,-9.78,-234.0,-105.6,-56.0
6,16046,10,0,2,4.09727,11.691,-8.68367,431,48,103,15,1,15,0.11137,48.138,480.0,3.0,-8.62,-216.0,-123.6,-60.0
7,15511,10,0,1,-4.04423,7.99633,-12.573,343,21,110,13,0,17,0.06122,46.533,210.0,0.0,-6.86,-171.0,-132.0,-68.0
8,14756,10,0,2,-1.8424,8.02267,-7.996,467,32,101,14,0,16,0.06852,44.268,320.0,0.0,-9.34,-225.0,-121.2,-64.0
9,17634,10,0,1,-0.29393,9.23633,-10.127,566,32,127,10,2,20,0.05654,52.902,320.0,6.0,-11.32,-144.0,-152.4,-80.0
0,13851,10,0,2,-8.1749,1.34567,-19.60167,210,12,98,15,0,15,0.05714,41.553,120.0,0.0,-4.2,-225.0,-117.6,-60.0
1,14453,10,0,1,-6.08737,4.546,-13.03833,449,15,115,11,0,19,0.03341,43.359,150.0,0.0,-8.98,-153.0,-138.0,-76.0
2,14034,10,0,2,-1.9366,17.33867,-15.10633,360,30,80,18,1,12,0.08333,42.102,300.0,3.0,-7.2,-252.0,-96.0,-48.0
3,11854,10,0,3,-7.19727,5.61267,-15.03133,174,17,60,20,0,10,0.0977,35.562,170.0,0.0,-3.48,-306.0,-72.0,-40.0
4,13813,10,0,2,-4.74137,14.88733,-15.918,274,23,76,22,1,8,0.08394,41.439,230.0,3.0,-5.48,-288.0,-91.2,-32.0
5,14168,10,0,2,-3.19987,8.01933,-14.466,335,25,84,16,0,14,0.07463,42.504,250.0,0.0,-6.7,-225.0,-100.8,-56.0
6,13427,10,0,2,-9.37197,-2.74233,-16.33067,312,10,81,18,0,12,0.03205,40.281,100.0,0.0,-6.24,-270.0,-97.2,-48.0
7,14287,10,0,2,-2.2853,10.477,-13.113,311,25,96,15,0,15,0.08039,42.861,250.0,0.0,-6.22,-180.0,-115.2,-60.0
8,13275,10,0,2,-0.1665,11.246,-11.32333,371,32,87,14,0,16,0.08625,39.825,320.0,0.0,-7.42,-189.0,-104.4,-64.0
9,14199,10,0,2,-5.14743,8.39867,-15.79,291,20,96,15,0,15,0.06873,42.597,200.0,0.0,-5.82,-216.0,-115.2,-60.0
10,13919,10,0,2,-4.0181,5.324,-14.982,255,24,86,15,0,15,0.09412,41.757,240.0,0.0,-5.1,-234.0,-103.2,-60.0
11,15576,10,0,1,-3.76707,4.80267,-8.74567,347,21,124,8,0,22,0.06052,46.728,210.0,0.0,-6.94,-126.0,-148.8,-88.0
12,14508,10,0,1,-4.63387,0.33533,-9.522,397,19,113,11,0,19,0.04786,43.524,190.0,0.0,-7.94,-153.0,-135.6,-76.0
13,13274,10,0,2,-6.41127,1.36333,-15.985,268,16,84,17,0,13,0.0597,39.822,160.0,0.0,-5.36,-234.0,-100.8,-52.0
14,14815,10,0,1,-6.65583,11.72567,-14.61733,226,11,108,11,0,19,0.04867,44.445,110.0,0.0,-4.52,-144.0,-129.6,-76.0
15,15533,10,0,2,-4.8507,2.20967,-17.44467,446,22,96,15,2,15,0.04933,46.599,220.0,6.0,-8.92,-234.0,-115.2,-60.0
16,12641,10,0,2,-7.97523,1.88367,-16.289,349,14,81,17,0,13,0.04011,37.923,140.0,0.0,-6.98,-261.0,-97.2,-52.0
17,17385,10,0,1,1.6385,14.799,-6.71667,550,37,125,10,1,20,0.06727,52.155,370.0,3.0,-11.0,-135.0,-150.0,-80.0
18,14034,10,0,1,-2.1466,14.831,-11.85367,435,28,109,11,0,19,0.06437,42.102,280.0,0.0,-8.7,-171.0,-130.8,-76.0
19,15960,10,0,1,-0.346,14.767,-8.26167,473,30,114,10,1,20,0.06342,47.88,300.0,3.0,-9.46,-135.0,-136.8,-80.0
20,15346,10,0,1,-5.4054,1.569,-11.95933,520,15,119,8,0,22,0.02885,46.038,150.0,0.0,-10.4,-117.0,-142.8,-88.0
21,16931,10,0,1,-1.80357,11.37533,-11.616,555,23,134,5,0,25,0.04144,50.793,230.0,0.0,-11.1,-63.0,-160.8,-100.0
