generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
38,653,10,0,0,6.564,7.09,4.46,216,0,5,2,0,1,0.0,127.8,0.0,0.0,-2.16,-8.0,-36.0,-16.0
39,579,10,0,0,6.563,10.76,5.63,173,3,5,1,0,1,0.01734,111.86,12.0,0.0,-1.73,-4.0,-34.5,-18.0
40,605,10,0,0,5.021,14.14,2.25,133,2,5,6,0,1,0.01504,92.04,8.0,0.0,-1.33,-24.0,-16.5,-8.0
41,615,10,0,0,6.36,10.34,4.27,110,4,5,8,0,1,0.03636,110.2,16.0,0.0,-1.1,-32.0,-25.5,-4.0
42,601,10,0,0,4.848,6.4,1.82,143,1,5,4,0,1,0.00699,97.16,4.0,0.0,-1.43,-16.0,-23.25,-12.0
43,400,10,0,0,1.391,2.14,-0.7,93,0,5,6,0,1,0.0,67.84,0.0,0.0,-0.93,-24.0,-21.0,-8.0
44,672,10,0,0,4.949,11.55,2.47,79,2,5,8,0,1,0.02532,87.28,8.0,0.0,-0.79,-32.0,-9.0,-4.0
45,447,10,0,0,2.408,3.18,1.04,56,0,5,4,0,1,0.0,75.14,0.0,0.0,-0.56,-16.0,-22.5,-12.0
46,454,10,0,0,2.268,7.17,-0.31,34,1,5,4,0,1,0.02941,69.52,4.0,0.0,-0.34,-16.0,-22.5,-12.0
47,602,10,0,0,6.366,14.08,2.23,107,2,5,2,0,1,0.01869,114.48,8.0,0.0,-1.07,-8.0,-33.75,-16.0
48,498,10,0,0,5.113,12.04,3.29,60,3,5,3,0,1,0.05,91.98,12.0,0.0,-0.6,-12.0,-26.25,-14.0
49,599,10,0,0,5.705,6.17,2.64,180,0,5,1,0,1,0.0,116.1,0.0,0.0,-1.8,-4.0,-35.25,-18.0
0,402,10,0,4,2.8,6.59,-0.39,83,1,1,10,0,0,0.01205,71.58,4.0,0.0,-0.83,-40.0,-6.75,0.0
1,1053,10,0,0,11.11,20.95,0.7,195,4,5,6,1,1,0.02051,139.8,16.0,8.0,-1.95,-24.0,-18.75,-8.0
2,732,10,0,0,9.048,12.73,0.93,164,5,5,2,0,1,0.03049,126.12,20.0,0.0,-1.64,-8.0,-30.0,-16.0
3,713,10,0,0,6.865,16.35,1.28,94,2,5,5,0,1,0.02128,116.34,8.0,0.0,-0.94,-20.0,-24.75,-10.0
4,715,10,0,0,5.878,16.39,0.1,29,2,5,5,0,1,0.06897,104.32,8.0,0.0,-0.29,-20.0,-23.25,-10.0
5,522,10,0,0,4.02,4.69,1.14,31,0,5,2,0,1,0.0,96.76,0.0,0.0,-0.31,-8.0,-32.25,-16.0
6,361,10,0,0,1.489,1.6,1.4,7,0,5,2,0,1,0.0,68.96,0.0,0.0,-0.07,-8.0,-30.0,-16.0
